"Vi","D","GR","GR_copy","scores","C","scores2","GR_fit","GR_fit_copy","GR_fit_copy_copy","GR_fit_copy_copy_copy","C_fit","D_fit","Vi_fit","GR_fit #2","Vi_wold","C_keas","D_keas"
"1.6045402426","36.2289626018","0.0009569864","0.0009569864","0.0126745197","160.5262279997","0.8732548026","0.0063","0.0063","0.0063","0.0063","218.0395078772","54.02","3.0863049","0.0082","2.9819807338","61.2447479224","32.6071574587"
"","","","","","","","0.0064","0.0064","0.0064","0.0064","216.2554898677","54.02","3.0932016","0.0083","2.9590239763","60.5553688531","32.2401269357"
"","","","","","","","0.0065","0.0065","0.0065","0.0065","214.4712566927","54.02","3.0995225","0.0084","2.9360778897","59.8923267269","31.8871183963"
"","","","","","","","0.0066","0.0066","0.0066","0.0066","212.6868083262","54.02","3.1052676","0.0085","2.9131522551","59.2546153711","31.5475961466"
"","","","","","","","0.0067","0.0067","0.0067","0.0067","210.9021447422","54.02","3.1104369","0.0086","2.890256238","58.6412670522","31.2210449583"
"","","","","","","","0.0068","0.0068","0.0068","0.0068","209.1172659148","54.02","3.1150304","0.0087","2.8673984329","58.0513510081","30.9069692867"
"","","","","","","","0.0069","0.0069","0.0069","0.0069","207.3321718181","54.02","3.1190481","0.0088","2.8445869032","57.4839720356","30.6048925189"
"","","","","","","","0.007","0.007","0.007","0.007","205.546862426","54.02","3.12249","0.0089","2.8218292173","56.9382691313","30.3143562505"
"","","","","","","","0.0071","0.0071","0.0071","0.0071","203.7613377126","54.02","3.1253561","0.009","2.7991324818","56.4134141858","30.0349195896"
"","","","","","","","0.0072","0.0072","0.0072","0.0072","201.975597652","54.02","3.1276464","0.0091","2.7765033709","55.9086107264","29.7661584886"
"","","","","","","","0.0073","0.0073","0.0073","0.0073","200.1896422181","54.02","3.1293609","0.0092","2.753948154","55.4230927091","29.5076650997"
"","","","","","","","0.0074","0.0074","0.0074","0.0074","198.4034713851","54.02","3.1304996","0.0093","2.7314727199","54.9561233553","29.2590471568"
"","","","","","","","0.0075","0.0075","0.0075","0.0075","196.6170851268","54.02","3.1310625","0.0094","2.7090826","54.5069940345","29.0199273795"
"","","","","","","","0.0076","0.0076","0.0076","0.0076","194.8304834173","54.02","3.1310496","0.0095","2.6867829885","54.0750231886","28.7899429013"
"","","","","","","","0.0077","0.0077","0.0077","0.0077","193.0436662307","54.02","3.1304609","0.0096","2.6645787621","53.6595552975","28.5687447186"
"","","","","","","","0.0078","0.0078","0.0078","0.0078","191.256633541","54.02","3.1292964","0.0097","2.6424744969","53.2599598846","28.3559971608"
"","","","","","","","0.0079","0.0079","0.0079","0.0079","189.4693853221","54.02","3.1275561","0.0098","2.620474485","52.8756305599","28.1513773815"
"","","","","","","","0.008","0.008","0.008","0.008","187.681921548","54.02","3.12524","0.0099","2.5985827494","52.5059841","27.954574868"
"","","","","","","","0.0081","0.0081","0.0081","0.0081","185.8942421929","54.02","3.1223481","0.01","2.5768030579","52.1504595625","27.7652909708"
"","","","","","","","0.0082","0.0082","0.0082","0.0082","184.1063472306","54.02","3.1188804","0.0101","2.555138936","51.8085174357","27.5832384495"
"","","","","","","","0.0083","0.0083","0.0083","0.0083","182.3182366352","54.02","3.1148369","0.0102","2.5335936788","51.4796388188","27.4081410378"
"","","","","","","","0.0084","0.0084","0.0084","0.0084","180.5299103806","54.02","3.1102176","0.0103","2.5121703626","51.1633246354","27.2397330235"
"","","","","","","","0.0085","0.0085","0.0085","0.0085","178.7413684409","54.02","3.1050225","0.0104","2.4908718552","50.8590948756","27.0777588458"
"","","","","","","","0.0086","0.0086","0.0086","0.0086","176.95261079","54.02","3.0992516","0.0105","2.4697008257","50.5664878678","26.9219727074"
"","","","","","","","0.0087","0.0087","0.0087","0.0087","175.1636374019","54.02","3.0929049","0.0106","2.448659754","50.2850595778","26.7721382012"
"","","","","","","","0.0088","0.0088","0.0088","0.0088","173.3744482507","54.02","3.0859824","0.0107","2.4277509395","50.0143829356","26.6280279518"
"","","","","","","","0.0089","0.0089","0.0089","0.0089","171.5850433102","54.02","3.0784841","0.0108","2.4069765092","49.7540471865","26.4894232706"
"","","","","","","","0.009","0.009","0.009","0.009","169.7954225544","54.02","3.07041","0.0109","2.3863384258","49.5036572687","26.3561138236"
"","","","","","","","0.0091","0.0091","0.0091","0.0091","168.0055859574","54.02","3.0617601","0.011","2.3658384949","49.2628332129","26.2278973124"
"","","","","","","","0.0092","0.0092","0.0092","0.0092","166.2155334931","54.02","3.0525344","0.0111","2.3454783721","49.0312095661","26.1045791672"
"","","","","","","","0.0093","0.0093","0.0093","0.0093","164.4252651354","54.02","3.0427329","0.0112","2.3252595696","48.8084348374","25.9859722514"
"","","","","","","","0.0094","0.0094","0.0094","0.0094","162.6347808583","54.02","3.0323556","0.0113","2.3051834629","48.5941709638","25.8718965779"
"","","","","","","","0.0095","0.0095","0.0095","0.0095","160.8440806359","54.02","3.0214025","0.0114","2.2852512964","48.3880927977","25.7621790358"
"","","","","","","","0.0096","0.0096","0.0096","0.0096","159.0531644419","54.02","3.0098736","0.0115","2.2654641896","48.1898876136","25.6566531276"
"","","","","","","","0.0097","0.0097","0.0097","0.0097","157.2620322504","54.02","2.9977689","0.0116","2.2458231422","47.999254633","25.5551587167"
"","","","","","","","0.0098","0.0098","0.0098","0.0098","155.4706840354","54.02","2.9850884","0.0117","2.22632904","47.8159045687","25.4575417843"
"","","","","","","","0.0099","0.0099","0.0099","0.0099","153.6791197708","54.02","2.9718321","0.0118","2.2069826594","47.639559185","25.3636541957"
"","","","","","","","0.01","0.01","0.01","0.01","151.8873394304","54.02","2.958","0.0119","2.1877846726","47.4699508762","25.2733534757"
